org_id,name,band,callsign,tagline,network_name,eformat,estatus,music_only
669,WUOT,FM,WUOT,"Listener-Supported WUOT 91.9 FM, Knoxville",,Public Radio,1,False
672,WUTC,FM,WUTC,Chattanooga's NPR station,,Public Radio,1,False
467,WKNO,FM,WKNO,NPR for the Mid-South,,Public Radio,1,False
374,WETS,FM,WETS,"Public Radio for East Tennessee, Southwest Virginia & Western North Carolina",,Public Radio,1,False
508,WMOT,FM,WMOT,WMOT Roots Radio,,Americana,1,True
1271,91Classical,FM,WFCL,Nashville's home for classical music and the arts,,Classical,1,True
376,New Hampshire Public Radio,FM,WEVO,New Hampshire Public Radio,New Hampshire Public Radio,,1,False
1478,WCNH-FM,FM,WCNH,,,Classical,1,True
666,Michigan Radio,FM,WUOM,Michigan's NPR News Leader,Michigan Radio,,1,False
358,WDET 101.9 FM,FM,WDET,Detroit's Public Radio Station,,Public Radio,1,False
463,WKAR Public Media,FM,WKAR,from Michigan State University,WKAR Public Media,,1,False
412,WGVU News,FM,WGVU,WGVU News,WGVU News,,1,False
364,89.1 WEMU,FM,WEMU,Your Community NPR Station. ,,Public Radio,1,False
436,Interlochen Public Radio,FM,WICA,News and Classical Music from northern Michigan,Interlochen Public Radio,,1,False
523,WMUK,FM,WMUK,Public radio from Western Michigan University,,Public Radio,1,False
342,WCMU,FM,WCMU,Music and NPR News for Central and Northern Michigan,WCMU,,1,False
347,Q-90.1 FM,FM,WUCX,Quality Public Radio.,,Public Radio,1,False
545,"Public Radio 90, WNMU",FM,WNMU,,"Public Radio 90, WNMU",,1,False
319,Blue Lake Public Radio,FM,WBLU,Blue Lake Public Radio,Blue Lake Public Radio,Classical,1,True
124,MPR News,FM,WGGL,Discovering what matters. Member supported.,MPR News,,1,False
1282,Interlochen Public Radio,FM,WIAA,News and Classical Music from northern Michigan,,Classical,1,True
945,Interlochen Public Radio,FM,WIAB,Classical IPR,,Classical,1,True
410,WGVU AM - Real Oldies,AM,WGVU,"Music from the 50s, 60s, and 70s",,Oldies,1,True
411,WGVU AM - Real Oldies,AM,WGVS,"Real Oldies, the way they were meant to be heard",,Oldies,1,True
1585,WRSX-FM,FM,WRSX,,,Public Radio,15,False
128,Nevada Public Radio,FM,KNPR,Nevada Public Radio,Nevada Public Radio,,1,False
228,KUNR Public Radio,FM,KUNR,News and Information from Northern Nevada and the Eastern Sierra,,Public Radio,1,False
887,Classical Vegas,FM,KCNV,Classical 89.7 KCNV Nevada Public Radio,,Classical,1,True
812,Boise State Public Radio News,FM,KBSJ,Enriching Your Life,Boise State Public Radio News,,1,False
1561,Nevada Public Radio,FM,KVNV,Nevada Public Radio,,Public Radio,1,False
1560,KNCJ,FM,KNCJ,Nevada's Classical & Jazz,,Classical,1,True
661,North Carolina Public Radio,FM,WUNC,Bringing the World Home to You: North Carolina Public Radio - WUNC,,Public Radio,1,False
380,WFAE,FM,WFAE,Charlotte's NPR News Source,,Public Radio,1,False
383,88.5 WFDD - Public Radio For The Piedmont,FM,WFDD,Public Radio for the Piedmont,,Public Radio,1,False
354,BPR Classic,FM,WCQS,NPR for Western North Carolina,,Public Radio,1,False
429,WHQR,FM,WHQR,High Quality Radio,,Public Radio,1,False
525,WNCW,FM,WNCW,A Member Supported Public Radio Station Broadcasting a World of Music,,Public Radio,1,False
638,PRE News & Ideas,FM,WTEB,,PRE News & Ideas,,1,False
389,WFSS,FM,WFSS,Your Public Radio Station for NPR News and Jazz Music,,Public Radio,1,False
1084,BPR News,FM,WYQS,NPR for Western North Carolina,,Public Radio,1,False
357,WDAV,FM,WDAV,Classical Public Radio,,Classical,1,True
1273,WSGE-FM,FM,WSGE,Your Independent Music Source,,Public Radio,1,False
913,WSNC,FM,WSNC,What we play is life,,Jazz,1,True
763,WRVS,FM,WRVS,Your Community Voice,,Public Radio,1,False
524,WNCU,FM,WNCU,North Carolina Central University's Jazz and Information Station,,Jazz,1,True
872,WCPE - The Classical Station,FM,WCPE,"Great Classical Music, 24 Hours A Day",,Classical,1,True
1042,WCPE,FM,WZPE,"Great Classical Music, 24 Hours A Day.",,Classical,1,True
496,Maine Public,FM,WMEA,Stay connected with Maine Public!,Maine Public,,1,False
1574,WBQA-FM,FM,WBQA,,,Classical,1,True
1555,WBQE-FM,FM,WBQE,,,Classical,1,True
1549,Maine Public,FM,WBQF,,,Classical,1,True
26,Boise State Public Radio News,FM,KBSX,Enriching Your Life,Boise State Public Radio News,,1,False
157,NWPB Classical,FM,KRFA,NPR and Classical Music,,Public Radio,1,False
159,NWPB Classical,FM,KNWO,NPR and Classical Music,,Public Radio,1,False
1200,Spokane Public Radio,FM,KXJO,"Spokane Public Radio, stations KPBX, KSFC, KPBZ",,Public Radio,1,False
1443,Spokane Public Radio,FM,KLGG,"Spokane Public Radio, stations KPBX, KSFC, KPBZ",Spokane Public Radio,,1,False
833,Classical MPR,FM,KWRV,Member supported,,Classical,1,True
688,West Virginia Public Broadcasting,FM,WVPM,Telling West Virginia's Story,West Virginia Public Broadcasting,,1,False
1567,WVKM-FM,FM,WVKM,,,Public Radio,1,False
566,WOSU 89.7 NPR News,FM,WOSU,89.7 NPR News - Global. Local.,WOSU 89.7 NPR News,,1,False
353,90.3 WCPN ideastream,FM,WCPN,Northeast Ohio's NPR News Station,90.3 WCPN ideastream,,1,False
704,91.7 WVXU,FM,WVXU,Connecting You to a World of Ideas,91.7 WVXU,,1,False
471,WKSU,FM,WKSU,"Your Source for NPR, News and Information",,Public Radio,1,False
726,WYSO,FM,WYSO,Our Community. Our Nation. Our World.,,Public Radio,1,False
338,WCBE 90.5FM,FM,WCBE,"Central Ohio's NPR Station - Innovative, Provocative, Real",,Public Radio,1,False
404,WGTE,FM,WGTE,A trusted source for NPR News and a voice for the arts in Northwest Ohio and Southeast Michigan,WGTE,,1,False
569,WOUB Public Media,FM,WOUB,WOUB Public Media,WOUB Public Media,,1,False
727,WYSU,FM,WYSU,Radio you need to know.,,Public Radio,1,False
787,WCSU,FM,WCSU,Central State University,,Urban Contemporary,1,True
568,WOUB Public Media,AM,WOUB,Athens News and Music,,Public Radio,1,False
564,WOSU Public Media,FM,WOSP,"Classical Music All Day, Every Day",,Classical,1,True
565,WOSU Public Media,FM,WOSV,"Classical Music All Day, Every Day",,Classical,1,True
562,WOSU Public Media,FM,WOSB,"Classical Music All Day, Every Day",,Classical,1,True
563,WOSU Public Media,FM,WOSE,"Classical Music All Day, Every Day",,Classical,1,True
1197,Classical 101,FM,WOSA,"Classical Music All Day, Every Day",,Classical,12,True
1366,WCLV Classical 104.9 ideastream,FM,WCLV,Northeast Ohio's Classical Music Station,,Classical,15,True
